index,title,abstract
2240,COVID-19 vaccine hesitancy: Lessons from Israel.,
2241,Structural Basis for SARS-CoV-2 Nucleocapsid Protein Recognition by Single-Domain Antibodies.,"The COVID-19 pandemic, caused by the coronavirus SARS-CoV-2, is the most severe public health event of the twenty-first century. While effective vaccines against SARS-CoV-2 have been developed, there remains an urgent need for diagnostics to quickly and accurately detect infections. Antigen tests, particularly those that detect the abundant SARS-CoV-2 Nucleocapsid protein, are a proven method for detecting active SARS-CoV-2 infections. Here we report high-resolution crystal structures of three llama-derived single-domain antibodies that bind the SARS-CoV-2 Nucleocapsid protein with high affinity. Each antibody recognizes a specific folded domain of the protein, with two antibodies recognizing the N-terminal RNA binding domain and one recognizing the C-terminal dimerization domain. The two antibodies that recognize the RNA binding domain affect both RNA binding affinity and RNA-mediated phase separation of the Nucleocapsid protein. All three antibodies recognize highly conserved surfaces on the Nucleocapsid protein, suggesting that they could be used to develop affordable diagnostic tests to detect all circulating SARS-CoV-2 variants."
2242,"[MANAGEMENT, DIAGNOSIS, AND TREATMENT OF SEVERE ALLERGIC REACTIONS INCLUDING ANAPHYLAXIS TO COVID-19 VACCINE].",
2243,"The Effects of ""Dry Swab"" Incubation on SARS-CoV-2 Molecular Testing.","Background: Widespread testing of SARS-CoV-2 has resulted in shortages of collection devices and transport media. We evaluated the stability of flocked swabs inoculated with SARS-CoV-2-containing specimen incubated dry (i.e., without transport medium) at room temperature. Methods: A pool of SARS-CoV-2 positive specimen was used to inoculate flocked swabs. Five swabs were placed immediately into universal transport media (UTM) following inoculation, and tested immediately (day 0). Fifteen of the swabs were placed into sterile 15-mL conical tubes and incubated at room temperature for 1, 2, or 7 days. Following incubation, swabs were hydrated in separate vials of UTM and tested. This protocol was repeated for viral transport media (VTM) and saline. As a comparison, a series of swabs was prepared and tested in parallel, but stored in the corresponding liquid transport media (UTM, VTM, or saline) and incubated at room temperature. Testing was performed at 1, 2, and 7 days postinoculation in duplicate. All molecular testing was performed using the Roche cobas SARS-CoV-2 assay. Results: All dry swabs tested on days 1, 2, and 7 provided results that were within 2 cycle thresholds (CTs) of the average CT values for swabs hydrated in the same media and tested on day 0. There was no statistical difference in CT values between swabs incubated in liquid media versus dry swabs incubated at room temperature prior to hydration in liquid media. Conclusions: The utilization of ""dry swabs"" may simplify specimen collection, negate the need for liquid transport media, and mitigate safety risks while preserving the accuracy of testing."
2244,How could a COVID vaccine cause blood clots? Scientists race to investigate.,
2245,Asymptomatic Patient Testing After 10:1 Pooling Using the Xpert Xpress SARS-CoV-2 Assay.,"Objectives: Pool testing for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) preserves testing resources at the risk of missing specimens through specimen dilution. Methods: To determine whether SARS-CoV-2 specimens would be missed after 10:1 pooling, we identified 10 specimens with midrange (ie, 25-34 cycles) and 10 with late (ie, >34-45 cycles) crossing threshold (Ct) values and tested these both neat and after 10:1 pooling. Final test results and Ct changes were compared. Results: Overall, 17 of 20 specimens that contained SARS-CoV-2 were detected after 10:1 pooling with the Xpert Xpress SARS-CoV-2 Assay (Cepheid), rendering an 85% positive percentage of agreement. All 10 of 10 specimens with an undiluted Ct in the mid-Ct range were detected after 10:1 pooling, in contrast to 7 of 10 with an undiluted Ct in the late-Ct range. The overall Ct difference between the neat testing and the 10:1 pool was 2.9 cycles for the N2 gene target and 3 cycles for the E gene target. The N2 gene reaction was more sensitive than the E gene reaction, detecting 16 of 20 positive specimens after 10:1 pooling compared with 9 of 20 specimens. Conclusions: An 85% positive percentage of agreement was achieved, with only specimens with low viral loads being missed following 10:1 pooling. The average impact on both reverse transcription polymerase chain reactions within this assay was about 3 cycles."
2246,SARS-CoV-2 in first trimester pregnancy: a cohort study.,"Study question: Does maternal infection with severe acute respiratory syndrome Coronavirus-2 (SARS-CoV-2) in first trimester pregnancy have an impact on the fetal development as measured by nuchal translucency thickness and pregnancy loss? Summary answer: Nuchal translucency thickness at the first trimester scan was not significantly different in pregnant women with versus without SARS-CoV-2 infection in early pregnancy and there was no significantly increased risk of pregnancy loss in women with SARS-CoV-2 infection in the first trimester. What is known already: Pregnant women are more vulnerable to viral infections. Previous coronavirus epidemics have been associated with increased maternal morbidity, mortality and adverse obstetric outcomes. Currently, no evidence exists regarding possible effects of SARS-CoV-2 in first trimester pregnancies. Study design, size, duration: Cohort study of 1019 women with a double test taken between 17 February and 23 April 2020, as a part of the combined first trimester risk assessment, and 36 women with a first trimester pregnancy loss between 14 April and 21 May 2020, prior to the double test. The study period was during the first SARS-CoV-2 epidemic wave in Denmark. Participants/materials, setting, methods: Cohort 1 included pregnant women with a double test taken within the study period. The excess serum from each double test was analyzed for SARS-CoV-2 antibodies. Results were correlated to the nuchal translucency thickness and the number of pregnancy losses before or at the time of the first trimester scan. Cohort 2 included women with a pregnancy loss before the gestational age for double test sample. Serum from a blood test taken the day the pregnancy loss was identified was analyzed for SARS-CoV-2 antibodies. The study was conducted at a public university hospital serving ∼12% of pregnant women and births in Denmark. All participants in the study provided written informed consent. Main results and the role of chance: Eighteen (1.8%) women had SARS-CoV-2 antibodies in the serum from the double test suggestive of SARS-CoV-2 infection in early pregnancy. There was no significant difference in nuchal translucency thickness for women testing positive for previous SARS-CoV-2 infection (n = 16) versus negative (n = 966) (P = 0.62). There was no significantly increased risk of pregnancy loss for women with antibodies (n = 1) (OR 3.4, 0.08-24.3 95% CI, P = 0.27). None of the women had been hospitalized due to SARS-CoV-2 infection. None of the women with pregnancy loss prior to the double test (Cohort 2) had SARS-CoV-2 antibodies. Limitations, reasons for caution: These results may only apply to similar populations and to patients who do not require hospitalization due to SARS-CoV-2 infection. A limitation of the study is that only 1.8% of the study population had SARS-CoV-2 antibodies suggestive of previous infection. Wider implication of the findings: Maternal SARS-CoV-2 infection had no effect on the nuchal translucency thickness and there was no significantly increased risk of pregnancy loss for women with SARS-CoV-2 infection in first trimester pregnancy. Evidence concerning COVID-19 in pregnancy is still limited. These data indicate that infection with SARS-CoV-2 in not hospitalized women does not pose a significant threat in first trimester pregnancies. Follow-up studies are needed to establish any risk to a fetus exposed to maternal SARS-CoV-2 infection. Study funding/competing interest(s): Prof. H.S.N. and colleagues received a grant from the Danish Ministry of Research and Education for research of COVID-19 among pregnant women. The Danish government was not involved in the study design, data collection, analysis, interpretation of data, writing of the report or decision to submit the paper for publication. A.I., J.O.-L., J.B.-R., D.M.S., J.E.-F. and E.R.H. received funding from a Novo Nordisk Foundation (NNF) Young Investigator Grant (NNF15OC0016662) and a Danish National Science Foundation Center Grant (6110-00344B). A.I. received a Novo Scholarship. J.O.-L. is funded by an NNF Pregraduate Fellowship (NNF19OC0058982). D.W. is funded by the NNF (NNF18SA0034956, NNF14CC0001, NNF17OC0027594). A.M.K. is funded by a grant from the Rigshospitalet's research fund. H.S.N. has received speaker's fees from Ferring Pharmaceuticals, Merck Denmark A/S and Ibsa Nordic (outside the submitted work). N.l.C.F. has received a grant from Gedeon Richter (outside the submitted work). A.M.K. has received speaker's fee from Merck (outside the submitted work). The other authors did not report any potential conflicts of interest. Trial registration number: N/A."
2247,Supply and delivery of vaccines for global health.,"Vaccines developed in high-income countries have been enormously successful in reducing the global burden of infectious diseases, saving perhaps 2.5 million lives per year, but even for successful cases, like the rotavirus vaccine, global implementation may take a decade or more. For unincentivized vaccines, the delays are even more profound, as both the supply of a vaccine from developing country manufacturers and vaccine demand from countries with the high disease burdens have to be generated in order for impact to be manifest. A number of poverty-associated infectious diseases, whose burden is greatest in low-income and middle-income countries, would benefit from appropriate levels of support for vaccine development such as Group A Streptococcus, invasive non-typhoid salmonella, schistosomiasis, shigella, to name a few. With COVID-19 vaccines we will hopefully be able to provide novel vaccine technology to all countries through a unique collaborative effort, the COVAX facility, led by the World Health Organization (WHO), Gavi, and the Coalition for Epidemic Preparedness Innovations (CEPI). Whether this effort can deliver vaccine to all its participating countries remains to be seen, but this ambitious effort to develop, manufacture, distribute, and vaccinate 60-80% of the world's population will hopefully be a lasting legacy of COVID-19."
2248,"Tracking COVID Vaccine Mandates, Outcomes, and Case Rates: Leveraging Informatics to Support the COVID Response.",
2249,A correlate of protection for SARS-CoV-2 vaccines is urgently needed.,
